ES-A,RC-A,PB-A,SMM5-A,SMLRE-A,SMLR-A,CAWPE-A,MV-A,NBC-A,WMV-A
20.0 ,2.0,2.0,4.0,3.0,3.0,27.0,3.0,27.0,3.0
31.0 ,3.0,2.0,4.0,3.0,4.0,31.0,3.0,30.0,3.0
47.0 ,3.0,2.0,4.0,3.0,5.0,38.0,3.0,37.0,3.0
40.0 ,3.0,3.0,4.0,4.0,3.0,27.0,3.0,27.0,3.0
32.0 ,3.0,3.0,5.0,5.0,3.0,32.0,2.0,33.0,3.0
26.0 ,3.0,2.0,5.0,3.0,3.0,33.0,3.0,33.0,3.0
31.0 ,3.0,3.0,5.0,3.0,3.0,29.0,3.0,29.0,2.0
32.0 ,2.0,2.0,5.0,4.0,3.0,31.0,3.0,31.0,3.0
31.0 ,3.0,4.0,3.0,3.0,2.0,28.0,3.0,29.0,2.0
32.0 ,2.0,2.0,2.0,3.0,2.0,25.0,3.0,24.0,2.0
32.0 ,3.0,3.0,3.0,4.0,3.0,27.0,3.0,26.0,2.0
45.0 ,2.0,3.0,4.0,3.0,2.0,25.0,3.0,25.0,4.0
31.0 ,2.0,3.0,5.0,4.0,4.0,32.0,2.0,32.0,3.0
31.0 ,3.0,3.0,6.0,4.0,2.0,32.0,3.0,31.0,3.0
31.0 ,3.0,3.0,4.0,4.0,4.0,32.0,3.0,32.0,2.0
32.0 ,3.0,3.0,4.0,4.0,4.0,35.0,2.0,35.0,3.0
32.0 ,3.0,2.0,4.0,3.0,5.0,34.0,3.0,33.0,3.0
40.0 ,2.0,3.0,2.0,3.0,4.0,33.0,3.0,33.0,2.0
31.0 ,3.0,3.0,3.0,3.0,4.0,30.0,3.0,31.0,4.0
31.0 ,3.0,3.0,3.0,4.0,4.0,31.0,2.0,30.0,4.0
31.0 ,3.0,3.0,3.0,3.0,3.0,25.0,3.0,25.0,3.0
31.0 ,2.0,2.0,3.0,3.0,4.0,34.0,3.0,31.0,3.0
31.0 ,3.0,4.0,3.0,6.0,4.0,25.0,3.0,27.0,3.0
39.0 ,3.0,7.0,2.0,3.0,4.0,33.0,2.0,32.0,2.0
31.0 ,3.0,2.0,2.0,4.0,3.0,32.0,3.0,31.0,3.0
31.0 ,2.0,2.0,3.0,3.0,5.0,28.0,2.0,27.0,3.0
31.0 ,3.0,2.0,4.0,3.0,4.0,27.0,3.0,27.0,4.0
94.0 ,17.0,17.0,114.0,43.0,32.0,52.0,18.0,59.0,18.0
78.0 ,17.0,17.0,115.0,45.0,28.0,47.0,15.0,50.0,19.0
62.0 ,16.0,19.0,117.0,50.0,23.0,51.0,20.0,50.0,20.0
78.0 ,17.0,17.0,117.0,51.0,24.0,49.0,16.0,47.0,16.0
63.0 ,17.0,17.0,117.0,35.0,35.0,47.0,21.0,45.0,15.0
78.0 ,18.0,17.0,111.0,43.0,35.0,49.0,16.0,49.0,20.0
78.0 ,21.0,18.0,120.0,46.0,34.0,47.0,17.0,47.0,16.0
78.0 ,16.0,18.0,119.0,40.0,26.0,53.0,21.0,53.0,16.0
62.0 ,19.0,17.0,126.0,39.0,34.0,49.0,17.0,49.0,16.0
78.0 ,16.0,17.0,109.0,46.0,26.0,47.0,17.0,47.0,15.0
82.0 ,16.0,18.0,114.0,51.0,28.0,46.0,18.0,46.0,15.0
78.0 ,16.0,21.0,116.0,41.0,36.0,51.0,16.0,50.0,15.0
94.0 ,16.0,17.0,116.0,49.0,25.0,57.0,17.0,58.0,17.0
78.0 ,18.0,17.0,117.0,42.0,29.0,48.0,16.0,47.0,20.0
89.0 ,17.0,17.0,107.0,40.0,32.0,53.0,17.0,51.0,17.0
68.0 ,17.0,19.0,110.0,42.0,21.0,49.0,17.0,49.0,19.0
78.0 ,17.0,18.0,115.0,31.0,27.0,48.0,17.0,48.0,15.0
68.0 ,17.0,17.0,107.0,48.0,29.0,49.0,19.0,48.0,15.0
79.0 ,16.0,16.0,114.0,32.0,25.0,50.0,19.0,51.0,15.0
71.0 ,16.0,16.0,111.0,38.0,21.0,51.0,17.0,49.0,17.0
71.0 ,19.0,16.0,107.0,63.0,29.0,50.0,16.0,50.0,16.0
81.0 ,16.0,19.0,122.0,48.0,29.0,48.0,17.0,46.0,15.0
78.0 ,17.0,17.0,123.0,38.0,23.0,50.0,16.0,52.0,16.0
78.0 ,16.0,18.0,98.0,32.0,29.0,55.0,16.0,54.0,16.0
78.0 ,16.0,18.0,109.0,38.0,23.0,51.0,17.0,51.0,17.0
70.0 ,16.0,16.0,141.0,39.0,21.0,50.0,16.0,50.0,15.0
79.0 ,17.0,16.0,125.0,38.0,36.0,57.0,16.0,58.0,15.0
85.0 ,17.0,17.0,129.0,50.0,27.0,49.0,18.0,48.0,18.0
78.0 ,17.0,16.0,112.0,39.0,26.0,47.0,17.0,47.0,17.0
63.0 ,17.0,16.0,106.0,40.0,22.0,48.0,17.0,47.0,16.0
47.0 ,5.0,6.0,24.0,11.0,8.0,34.0,6.0,35.0,5.0
55.0 ,5.0,6.0,22.0,12.0,7.0,35.0,5.0,35.0,5.0
47.0 ,6.0,5.0,23.0,13.0,8.0,36.0,6.0,36.0,5.0
