CAWPE(alpha=4),CAWPE(ConTie),CAWPE(RandTie)
0.7027027027027027 ,0.7027027027027027,0.6981981981981982
0.6801801801801802 ,0.7027027027027027,0.6891891891891891
0.6891891891891891 ,0.7027027027027027,0.6891891891891891
0.6666666666666666 ,0.6979166666666666,0.65625
0.7708333333333334 ,0.78125,0.7708333333333334
0.6979166666666666 ,0.6979166666666666,0.6875
0.7604166666666666 ,0.7604166666666666,0.75
0.6875 ,0.6979166666666666,0.6979166666666666
0.6875 ,0.71875,0.65625
0.71875 ,0.71875,0.71875
0.6875 ,0.7291666666666666,0.6979166666666666
0.71875 ,0.7291666666666666,0.7083333333333334
0.6875 ,0.71875,0.6979166666666666
0.7291666666666666 ,0.75,0.7083333333333334
0.7291666666666666 ,0.7291666666666666,0.7083333333333334
0.65625 ,0.6770833333333334,0.6666666666666666
0.75 ,0.7708333333333334,0.7708333333333334
0.6979166666666666 ,0.75,0.6979166666666666
0.7083333333333334 ,0.7291666666666666,0.7291666666666666
0.6979166666666666 ,0.71875,0.6770833333333334
0.71875 ,0.7291666666666666,0.7291666666666666
0.7083333333333334 ,0.7291666666666666,0.71875
0.7083333333333334 ,0.7291666666666666,0.6875
0.7291666666666666 ,0.78125,0.6770833333333334
0.75 ,0.78125,0.75
0.7291666666666666 ,0.7291666666666666,0.71875
0.7395833333333334 ,0.7395833333333334,0.7395833333333334
0.7395833333333334 ,0.7395833333333334,0.7395833333333334
0.6770833333333334 ,0.71875,0.625
0.6354166666666666 ,0.65625,0.625
0.7604166666666666 ,0.7604166666666666,0.7604166666666666
0.6979166666666666 ,0.7083333333333334,0.7083333333333334
0.6666666666666666 ,0.6666666666666666,0.65625
0.8942307692307693 ,0.9230769230769231,0.9006410256410257
0.9038461538461539 ,0.9102564102564102,0.9006410256410257
0.9006410256410257 ,0.9134615384615384,0.8974358974358975
0.8974358974358975 ,0.907051282051282,0.9006410256410257
0.8814102564102564 ,0.8910256410256411,0.8878205128205128
0.8974358974358975 ,0.907051282051282,0.8910256410256411
0.9134615384615384 ,0.9198717948717948,0.8974358974358975
0.9102564102564102 ,0.9134615384615384,0.9006410256410257
0.9198717948717948 ,0.9423076923076923,0.907051282051282
0.9006410256410257 ,0.9006410256410257,0.8974358974358975
0.8878205128205128 ,0.907051282051282,0.8878205128205128
0.9134615384615384 ,0.9294871794871795,0.9038461538461539
0.8974358974358975 ,0.9006410256410257,0.9006410256410257
0.9198717948717948 ,0.9198717948717948,0.9134615384615384
0.8910256410256411 ,0.9102564102564102,0.8942307692307693
0.9102564102564102 ,0.9134615384615384,0.907051282051282
0.9262820512820513 ,0.9326923076923077,0.9134615384615384
