TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
ionosphere,0.040290612877684,0.03842414056087351,0.03911432066174403,0.037283499446439695,0.03746706243103171,0.037174171957839966,0.03821819438554302,0.037239145918074396,0.038608902291807294,0.03905095925087641,0.03896907121211559,0.03963708546481888,0.03824541394332341,0.038938814184168516,0.03848769645948355,0.03907111012017879,0.03821083688675183
iris,0.04212491307296498,0.04212491307296498,0.04153135115778275,0.04153135115778275,0.04166643678097506,0.04166643678097506,0.04223391650917194,0.04166643678097505,0.04135384486735062,0.04135384486735062,0.035697036520520614,0.04135384486735062,0.04135384486735062,0.04133160297947724,0.04112343193235796,0.04138348212261259,0.040786645449199736
led-display,0.032117082978618344,0.03227777113136356,0.03246748930148117,0.03192155278123081,0.03154809441572872,0.0313580966867303,0.03147960789648505,0.03161460584783399,0.031787226665176194,0.03176940682778915,0.034472979813051134,0.03155637672261094,0.03164803557614081,0.031436749885787964,0.03120616178417384,0.03177205081223234,0.03132810202343797
lenses,0.30429920227662,0.2991882550472081,0.3024270233921011,0.31032904394519406,0.3101738597529651,0.3023231071551494,0.3079210135345762,0.3079210135345762,0.31407598983851537,0.332215625561865,0.2983464625140653,0.3280627585987718,0.32806739305678423,0.3316913254338558,0.3363398195184138,0.3444393852986143,0.3369308522060079
letter,0.0035495603377279465,0.0035495603377279465,0.0035495603377279465,0.0035495603377279465,0.0035495603377279465,0.0035454516912359537,0.0035090121860829977,0.003522368892552023,0.0035740662797793463,0.0037114709284514643,0.006422351743733805,0.003701128334761353,0.004124947465892451,0.004060691903517665,0.0044535661384714886,0.004540804180118376,0.005312497257666865
libras,0.04580647651546694,0.0460378482136434,0.04497172850147506,0.045616723722603426,0.04695231254957914,0.04617519281992074,0.04648912587941322,0.04679450955605822,0.0447185830206659,0.04255273275086433,0.050004966405824365,0.045787497883105,0.04629604086775003,0.045733229821641914,0.04692963976429411,0.04601472484754761,0.048219320615894574
low-res-spect,0.09645433128930371,0.09378163593700554,0.08485326607971129,0.08129190536734211,0.08558863806430105,0.08225822975449874,0.0903994877882646,0.09003962006368527,0.089587565388018,0.09287506044989981,0.0789926228123684,0.08775679299688184,0.08619505724434735,0.08885381990804668,0.08997554017704229,0.08924218016674879,0.09396039720740186
lung-cancer,0.2061252714562685,0.20968599629961276,0.20968599629961276,0.20831457939412099,0.20661660078109487,0.20661660078109487,0.20316869489448094,0.18950994812943023,0.18900402630360855,0.18800712256416108,0.2143847355796744,0.19072677064920124,0.1910997535844014,0.18900544362615854,0.18463105510891117,0.1969226093865999,0.19794025306900967
lymphography,0.18294237963680526,0.18217491659924562,0.1756085672425996,0.17455268511216987,0.17519845822494348,0.18169456109568746,0.17396930654575382,0.17412247037187553,0.17112335495974665,0.16271797904434193,0.21911012759108325,0.17760370110994955,0.1774548526426343,0.17223914034801005,0.17142161403693912,0.16977896679598753,0.172580467481108
magic,0.006145561412115362,0.006184037408921034,0.00618513657114081,0.006165295647540196,0.006161399241992514,0.006109283000446828,0.006077178152432592,0.00609615020525038,0.00600698005754449,0.006008964692210152,0.005684945257992882,0.006045900559811819,0.006034601653782261,0.005768245456406932,0.005724919771959391,0.005755642142691072,0.00608878395743325
mammographic,0.02694459867749339,0.026238817386415123,0.025676784438346045,0.025557316492678565,0.025566630109959635,0.026013322309726923,0.026606946477285225,0.026581496683793056,0.027048896841721827,0.02654514728344704,0.025256758312782908,0.02687393396813322,0.026456555537799138,0.026222512213598486,0.026638092630398295,0.02659394657390788,0.026708728551292974
miniboone,0.006496419559861485,0.006673619415088149,0.0069039229303144885,0.007065762648047297,0.007387453229482307,0.007488182856916755,0.0075938422955991475,0.007875634279328948,0.008159085322482058,0.008423050945288554,0.0028929596287896983,0.00863351771275876,0.008974252529806881,0.009281148350240078,0.00975068728207801,0.010168602456671005,0.010587303139200132
molec-biol-promoter,0.086997736262715,0.08646120338843438,0.08619057332305204,0.08744754625640522,0.08959329477726063,0.09038453571014844,0.0863640638480628,0.08732347249847042,0.08370545275489445,0.08007083521828796,0.09968294383725564,0.08392272361887243,0.08254492802281113,0.08253112363936962,0.08198240522501012,0.08166419412732627,0.08266483154700592
molec-biol-splice,0.011386869859915848,0.011385540838562414,0.011598061437499144,0.011620377813893775,0.012202128533693913,0.012127450318495749,0.011909618272054995,0.011768884515875554,0.012393093170931162,0.013602882165498818,0.016795860378327837,0.013115489491664231,0.014353456512091719,0.013813500417626311,0.014043323859425243,0.014290770660546464,0.014540748712511395
monks-1,0.06545060812219756,0.06513078713883771,0.06493227507637837,0.06522605442672309,0.06421771530371713,0.06392104677282026,0.06388520497597933,0.06321176126855838,0.06148749040630192,0.06098620156848576,0.03405571304770289,0.06171166960501455,0.06292736844787007,0.05790446173367327,0.05642656664633345,0.05335060077047946,0.05353705335521874
monks-2,0.04482382183503315,0.04424997002743282,0.045446150149567544,0.04677791408555852,0.04579480812809722,0.044570830540981085,0.0455145206435961,0.04546160741846079,0.04618108590382114,0.04424240786503249,0.0040109388020943,0.04482204554044966,0.0459116553336551,0.04438110782090257,0.042951406812564104,0.04230155776860003,0.044275846311080155
