TRAINTESTDIFFSAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
energy-y2,-0.0017475069573138601,-0.0017454013428050716,-0.0017244033791073532,-0.0017168640822528114,-0.0017262497912567806,-0.001703544483761262,-0.0016730997311675858,-0.0016732207866631506,-0.0016877126786717378,-0.0016990069712629692,-0.0017302875513878584,-0.0034963592353051427,-0.0017725531968396547,-0.00178132688337251,-0.0018238213720962978,-0.0018830041099013983,-0.0019363853734546263
fertility,-0.0727272727272727,-0.07361111111111109,-0.07487373737373733,-0.07613636363636361,-0.07601010101010099,-0.07714646464646464,-0.07638888888888887,-0.07512626262626258,-0.07676767676767673,-0.0766414141414141,-0.07727272727272726,-0.0776515151515151,-0.07866161616161613,-0.0785353535353535,-0.07853535353535349,-0.07664141414141411,-0.07765151515151512
flags,-0.013339043569970732,-0.013690828520998618,-0.013158391128326462,-0.012944583080276047,-0.012211734747054908,-0.012206278051343212,-0.011998565897056397,-0.011985392603831465,-0.011719353534691893,-0.011455409926027863,-0.010827641333694871,-0.01519097250692747,-0.010987285020572153,-0.01054047808373178,-0.010562310767129542,-0.011784323857249143,-0.012711154639285415
glass,-0.020545629703279143,-0.02080231917897966,-0.0211814559756827,-0.02112171333204809,-0.021114373117346635,-0.021543956671736322,-0.022027842031355462,-0.02244720408542393,-0.022767673100844925,-0.022879845425253644,-0.023169092281065184,-0.022249941173847623,-0.023453978832736484,-0.024240690778174985,-0.024765109164402,-0.025809249420946232,-0.02672034361540148
haberman-survival,0.0072963609278163845,0.007272319501403346,0.007057213776942192,0.006757068532680044,0.006585200438366959,0.006208684720381085,0.00593903852281293,0.0061032204269581185,0.005770610424183024,0.0055168280349052745,0.00547144803583034,0.012724500670654997,0.005386408516029332,0.005547710909315554,0.005342640914557432,0.004983532345595668,0.004690896634393404
hayes-roth,-0.023978379763153104,-0.024086422118145337,-0.02466731421942262,-0.024815783318046455,-0.024962489984018343,-0.02610808434238524,-0.026050716041411077,-0.026451938200599764,-0.026842740030462754,-0.026866343922267732,-0.027663519397262148,-0.048947884990022526,-0.028995716577999563,-0.030880061176976416,-0.033262654120766115,-0.0346422633510269,-0.041047568270474656
heart-cleveland,0.0019196290559575391,0.001689517520462569,0.001425328103923166,0.0012228453333469928,0.0010414350102869656,7.529515137339015E-4,3.235818716134209E-4,-4.8437410210851646E-5,-3.140545203342689E-4,-5.939545648364557E-4,-0.0010301611396390299,3.381055125274683E-4,-0.0013653145687106034,-0.0018546580074161657,-0.0023900128697310176,-0.00292389233911019,-0.0036757592334184814
heart-hungarian,-0.025210758731433136,-0.02563227619429947,-0.025919978589589172,-0.02626120701190952,-0.026729559748427674,-0.027064097417369187,-0.02751906864712965,-0.027693028234979197,-0.027987421383647754,-0.028288505285695143,-0.02856951692760604,-0.0334136223738793,-0.029138230964806604,-0.02976716178241667,-0.03020875150541947,-0.03054328917436102,-0.03071724876221061
heart-switzerland,0.03147741846644759,0.030522855086241765,0.029811081226212004,0.029275511972629422,0.028443074313451906,0.027487228969416,0.027169282348808926,0.025040537451633333,0.023532063552588158,0.021107095089163044,0.018840038304701164,-0.009347348809327081,0.015719490805226676,0.010309252605787638,0.0058186201387883125,0.0014166422705878718,-0.0043489576474332065
heart-va,-0.01284891408040686,-0.013097834074492172,-0.01307792957287294,-0.013247886583614473,-0.013560032096907522,-0.013966206244102653,-0.014815477123188847,-0.01573073141278854,-0.01706798571644749,-0.018603402462606614,-0.01971105702358902,-0.02511308506756054,-0.021458325979686787,-0.024274946254915945,-0.027238714042702054,-0.029811572648651214,-0.032522831972416774
hepatitis,0.017885157764852066,0.016665014101887154,0.016257381456020785,0.01503833950290953,0.013137339150362385,0.01211495240613535,0.010512515423938969,0.009418517539221885,0.008568548387097788,0.007104375991539876,0.005470540278513266,0.005112484576063137,0.0046514190022925745,0.002950378988190683,0.001550656619073824,4.5390445972250576E-4,-0.0010433192314462047
hill-valley,-0.05886605162166441,-0.0558445613538257,-0.052007610001924845,-0.04820805512894571,-0.04584699394031857,-0.04274744306113821,-0.04111978854651181,-0.03867776216565586,-0.03752827427957358,-0.03615840131868008,-0.03596815127057293,-0.039115627734390944,-0.03499874739949274,-0.03326362339204248,-0.030343793455253423,-0.02989648799863514,-0.03296917150460955
horse-colic,1.3100067613239786E-4,1.563556457064926E-4,1.1409736308307661E-4,-1.2677484787101031E-5,-1.6903313049363434E-4,-5.451318458418434E-4,-7.352941176471154E-4,-9.127789046653605E-4,-8.19810682893903E-4,-0.0012297160243407953,-0.0015297498309668977,-2.7890466531447594E-4,-0.0017325895875591967,-0.001821331981068312,-0.0019396551724138158,-0.0023791413116971047,-0.0026284651791751547
ilpd-indian-liver,-8.104073804364768E-4,-9.484595892718328E-4,-0.0010850636980144841,-0.0012295748929774955,-0.0013013822690017792,-0.001464994593758647,-0.001569418700441779,-0.001733329839503528,-0.0020416832163809963,-0.0021993422407569035,-0.0023647934227743325,-0.007538763111051383,-0.0025153268752656182,-0.002834874295716668,-0.003241859378906531,-0.003445305949069999,-0.0037355235962153546
image-segmentation,-2.6711560044888983E-4,-2.68748086929856E-4,-2.691270570058024E-4,-2.7233372687916296E-4,-2.730042123981535E-4,-2.7953415832199235E-4,-2.7676476161317594E-4,-2.8215779730926446E-4,-2.7650239771448426E-4,-2.8349876834723455E-4,-2.892124710306384E-4,-1.4721529872926039E-5,-2.8355707143582116E-4,-2.9043683589135747E-4,-2.955966592329625E-4,-2.869094990306779E-4,-2.924482924482589E-4
ionosphere,-0.010231966434558903,-0.010415663315474492,-0.01052452691991332,-0.010680631643021854,-0.010893174870735744,-0.011030215921177549,-0.01124351166228621,-0.011362743229052523,-0.011721483086844224,-0.011840338396913185,-0.012181143352130252,-0.005419559662607028,-0.012418979391167317,-0.01288261125492565,-0.013162922494465696,-0.013604020762681523,-0.013974675415889926
iris,-7.644444444444416E-4,-7.822222222222101E-4,-7.644444444444342E-4,-7.999999999999933E-4,-7.733333333333295E-4,-7.644444444444416E-4,-7.911111111111091E-4,-8.088888888888886E-4,-8.000000000000007E-4,-8.533333333333319E-4,-8.444444444444403E-4,-0.006257777777777774,-8.711111111111077E-4,-8.888888888888835E-4,-9.244444444444389E-4,-9.688888888888821E-4,-0.0010311111111111048
led-display,-0.004201256049641426,-0.0042013480499511514,-0.004222231068796778,-0.004208831124135918,-0.004215070748074949,-0.004196830273530128,-0.0042566110092095615,-0.004287140771288696,-0.0042916856023587045,-0.004291194222187811,-0.004341743364463754,-0.004032226568051641,-0.004355371113187004,-0.004361758953842787,-0.004368902922845574,-0.004346840245752778,-0.004373506899301471
lenses,-0.05061771561771574,-0.05151256151256164,-0.05225848225848237,-0.05329448329448342,-0.05293447293447305,-0.05265475265475277,-0.05403910903910915,-0.05646076146076157,-0.058032893032893156,-0.05952084952084964,-0.06077182077182089,-0.032432012432012526,-0.06492747992748003,-0.06962185962185971,-0.08114996114996127,-0.09422817922817933,-0.09895363895363904
