TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
lenses,0.22137127612391555,0.22167595858614278,0.2216420159703357,0.22305836178603314,0.22383671544951644,0.22540922888701811,0.22600695371266769,0.22590954153975049,0.22848034255574637,0.2291018755402845,0.2279841032661025,0.21248374617592133,0.22957869721814078,0.23128472699109817,0.23341718807937464,0.23639957748797638,0.2385939410752385
letter,4.001581655983684E-4,4.0023345160589315E-4,4.006682854791076E-4,4.0088396741859997E-4,4.013196910680625E-4,4.017067081584161E-4,4.0223370183904976E-4,4.024564706490144E-4,4.032075558185822E-4,4.039068528990159E-4,4.0452822688143234E-4,7.541966036572155E-4,4.049807776821977E-4,4.0604756221961297E-4,4.078132063787265E-4,4.1033385143893447E-4,4.138760925687218E-4
libras,0.010910159561306419,0.010847764819045171,0.0109768831509921,0.011019303059113568,0.01098845015523315,0.010967281527248384,0.01091979529663665,0.010897749284433373,0.01079162280413398,0.010813433130247607,0.010805354085281792,0.015369375075525025,0.010752037841097998,0.010615748013830592,0.010547078722703104,0.010561841794305553,0.010359046354506836
low-res-spect,0.00738860629098618,0.0073894511041582645,0.007394431073988077,0.007378728078784109,0.007355962823003149,0.007344329264775251,0.007349779090493599,0.007310697580050344,0.007305051579087424,0.007286346362846856,0.0072966397558701605,0.009796993140468651,0.007283132751330786,0.007321043237804963,0.007388356605757847,0.007457657552492876,0.007526660633287703
lung-cancer,0.1808410490312695,0.18082964073098928,0.1802646687103145,0.18019957710613907,0.17935866509228518,0.17891224123870333,0.1790708583522732,0.17893548075722804,0.1796127924062864,0.17914437564477342,0.1799472371686729,0.18024546830046018,0.18154824742167347,0.18578830324727674,0.18943916109948053,0.19512929107040666,0.2031117291607508
lymphography,0.049781356698753595,0.049809850236566006,0.049543857122318735,0.0498665962921856,0.049989211079269694,0.05030342821319145,0.050709249085067555,0.05083101778572712,0.05097162476452374,0.050854434446279566,0.051480135239759355,0.05790177561003143,0.05183354760495419,0.05199369479744279,0.05268160171203713,0.05348340509788401,0.05366112078180214
magic,0.004847838958608717,0.004857371118485306,0.0048699373154523495,0.0048841091723883226,0.004897518685241945,0.00491520142299302,0.004931178734068526,0.0049497815359534,0.004968398446710862,0.004985421852850001,0.005004891438310553,0.007592220792729954,0.005028269666344094,0.005053552682708322,0.005079512663603295,0.005103388006360876,0.0051254431091698124
mammographic,0.02287999017616131,0.02293075014973473,0.022962861556650824,0.02299173993328853,0.023003587418398422,0.023054692225511382,0.023091233183070995,0.02311170587876273,0.023158023383622328,0.023190706692322725,0.02324812209382988,0.025215504383521145,0.0233248435586557,0.02338101667746205,0.023367779727574596,0.023426054335879395,0.023425392609404603
miniboone,0.001468792430877216,0.0014755494405084228,0.0014832243409474333,0.0014915217492112653,0.0015012945048659863,0.001512137518871601,0.0015238805424081748,0.0015373248912676088,0.0015517267718395012,0.00156730781017643,0.0015840788004192,0.0019214092460570118,0.0016022375091984808,0.001621775333561502,0.0016423742866717096,0.0016643031463213543,0.0016876108795492856
molec-biol-promoter,0.067697800239018,0.06737989163048778,0.06845235154855574,0.06988170729158268,0.07145886881899076,0.07229572739554424,0.07357646656940961,0.07462415474327237,0.0735610220789345,0.07321382376376052,0.07276459597733877,0.09360296226276187,0.07177538209782829,0.0722990578982275,0.0734017771626537,0.07454423667420679,0.07583631346720515
molec-biol-splice,0.005577166459196717,0.005574075599546415,0.00556636928446012,0.005563768992109613,0.0055546901692489865,0.005559387067844245,0.005560035271704804,0.005570356308439052,0.005587714849287952,0.005623522814438379,0.005679656069846719,0.008754490548050609,0.005716482990648439,0.0057582571577063915,0.00579907210543356,0.005861188684775271,0.005900747638190145
monks-1,0.051985427852844115,0.0513566908233643,0.05085594104814139,0.050246674599862075,0.049903683416213866,0.049342023609344456,0.04875809390633197,0.04833498109049187,0.04792258165222366,0.047816004823156955,0.04810953833589451,0.042100652660982764,0.04881844353958659,0.04902554441342692,0.04949348728176647,0.0505735136934039,0.05059828775076018
monks-2,0.038579298907597294,0.03845004937392641,0.03821788054055363,0.03805254284970173,0.037867289886425105,0.03783567270160828,0.037780721904093637,0.037798703845735394,0.037767284376186726,0.037823447202651767,0.03802427562078989,0.05147375076998836,0.03817237053180824,0.03833983600061042,0.038818272404404476,0.03912129749383534,0.03947817899675483
monks-3,0.013537935424894969,0.013657997607488561,0.013799924884020617,0.013895912587913933,0.014001093694107222,0.014114069136356579,0.0143712936662843,0.014634894751645358,0.014865018989599549,0.015116846249196464,0.015256216286590149,0.04067182747748241,0.015601097642234019,0.015868493205281116,0.01631097932211203,0.0169728206731274,0.017738224536537044
mushroom,5.022790790737515E-7,5.496649725314319E-7,6.591953397359248E-7,7.711328578095793E-7,1.5212412216871509E-6,3.5613519629190175E-6,3.698040128734125E-6,3.8625088245654E-6,6.145353050434588E-6,7.095590694203121E-6,7.387834188405784E-6,0.005600429346545934,7.900856117647683E-6,8.247647933792305E-6,8.756838936084399E-6,9.511921894292575E-6,1.0538607217904305E-5
musk-1,0.025752672758574544,0.025733494576002817,0.02566940792338877,0.02562846759333438,0.02569404220904654,0.02572246971223924,0.02576555374381917,0.025737562189033125,0.02576006305604559,0.025929535981240995,0.025914583299317666,0.03740470639436817,0.026088457081276564,0.026036949494607286,0.025957922150733635,0.026038259849726863,0.02591104440735745
musk-2,0.003096842169227454,0.0031035113603331455,0.0031117082434170954,0.003118303583580891,0.003128935164628478,0.00313303890049217,0.0031388453840426145,0.0031463683283216785,0.00315764822621752,0.0031664113738395323,0.003173244220522097,0.008938387306569843,0.003174313743575159,0.0031767576065496418,0.00318224130142399,0.0031908243012931875,0.003194990072815608
nursery,3.483727097109158E-4,3.6063161493708447E-4,3.7608544654285685E-4,3.957512008687451E-4,4.1825601578151784E-4,4.4344914840787014E-4,4.717807640041506E-4,5.015920575012435E-4,5.330120932337817E-4,5.671159139730844E-4,6.040275467280853E-4,0.0016407375418783442,6.434681695166715E-4,6.855278964867774E-4,7.302637694677482E-4,7.779544983863557E-4,8.268539939015123E-4
oocytes_merluccius_nucleus_4d,0.021166428826664398,0.021236980316551708,0.021326693821356053,0.021352402211816168,0.021408785412781243,0.02149777616266679,0.021554512118296103,0.021622654777942275,0.02180098371198278,0.021960736698282423,0.022053241217341684,0.03671359584607221,0.022202393014093443,0.022366794051261032,0.022507657726829326,0.02265038382632291,0.02291470275763514
oocytes_merluccius_states_2f,0.006558132001688752,0.006551961541205974,0.00655255008305417,0.006560842970661492,0.0065536411194069295,0.006541068931443869,0.006541110815417592,0.006535876375359566,0.006540137703293096,0.006544741742933108,0.006533493241896481,0.008045153711231769,0.006517990743545887,0.006511646325952206,0.00650732461960699,0.006506360301347054,0.006534026489048472
oocytes_trisopterus_nucleus_2f,0.02263028942133198,0.022710027453875563,0.02271942307472552,0.02275996111056568,0.022886521474493906,0.02294573896191428,0.022940520928488962,0.022868251860528783,0.02299630008256309,0.023141411366170067,0.02316380428403741,0.029810538121985405,0.02324712491410158,0.023406958171478972,0.0236000790590068,0.023793782348001554,0.024023982595654757
oocytes_trisopterus_states_5b,0.010111518682636706,0.010104031387346571,0.010115786950019502,0.010141538723486925,0.010195611485395977,0.010192053254629477,0.010187426413175191,0.010205006012565744,0.010243919956342627,0.010302143788146702,0.010317336300779474,0.012652395993599361,0.01035610482479126,0.01037707589887519,0.010425032760427838,0.010492823523474871,0.010543762416205962
optical,3.6123911635165684E-4,3.595064971840752E-4,3.5877137083439826E-4,3.5809033352516233E-4,3.5845479429566344E-4,3.590038681773593E-4,3.599717537980885E-4,3.5929935949455716E-4,3.568455079935205E-4,3.558637330575535E-4,3.529608012802961E-4,6.44199989172604E-4,3.563330912941156E-4,3.533311551103072E-4,3.5208550244079435E-4,3.55830596008435E-4,3.5496270371942367E-4
ozone,0.05455702443052739,0.054807570974877894,0.05471376575856848,0.0545748713272519,0.054487966678435945,0.05441772718431199,0.0544115268464363,0.054048018815844256,0.05433401164397211,0.05430836715792478,0.0543263933917273,0.056084834024959215,0.054294140283696724,0.05426052167872887,0.0541632669293457,0.05372314359884835,0.05411373772319729
page-blocks,0.0035104364483477596,0.0035166374479005877,0.003522660087147966,0.0035283862890886104,0.0035317468197166,0.003537673930306547,0.0035416756417088824,0.003548339606831407,0.003554279203905892,0.003560938681100064,0.0035689936532341386,0.009461754617186544,0.0035745828036867424,0.003577933487362809,0.003578619559458141,0.00358271570945222,0.0035857662571244404
parkinsons,0.034638849713334904,0.03496221040356844,0.03514231632708909,0.03501011062308339,0.03483411909595648,0.03538458352199151,0.03591133486274779,0.03647121036488306,0.03678411750868383,0.03748842904515084,0.03770954124392181,0.065670605095022,0.03787616524160031,0.03828279537360091,0.039121155184862866,0.039543620044759316,0.040874264381295954
pendigits,3.503668547085232E-4,3.5049257696713666E-4,3.478496562196297E-4,3.503904284759791E-4,3.5136583524678994E-4,3.487059895649992E-4,3.5379994156385923E-4,3.499206456323798E-4,3.4961236573482124E-4,3.485146259720695E-4,3.5141184910995405E-4,4.847078026821307E-4,3.49973634072986E-4,3.4989008776860445E-4,3.573868749398714E-4,3.512272515505435E-4,3.5156706316874053E-4
pima,0.03169766801292637,0.03178125561987738,0.03195112560858934,0.03213601098939673,0.032175642440628933,0.03233994137635354,0.03254194934873878,0.03263792358856599,0.03283504227152759,0.03288630433533044,0.03307268234187308,0.029969047601241295,0.03317931757527162,0.03329022570625889,0.0334384486165439,0.03363404358429911,0.033756132004718026
pittsburg-bridges-MATERIAL,0.07011911704826577,0.06984946034130608,0.06925770473119008,0.06932686768243267,0.06913534043681029,0.06847999996150293,0.0687229716977456,0.06837510068898617,0.06848590075780478,0.06843697955581024,0.06831713069319653,0.05656855267811504,0.06838584588846124,0.06844060957666098,0.06812020495329171,0.06833429596233372,0.06883933767069057
pittsburg-bridges-REL-L,0.07346561584785079,0.07311249829262942,0.07251001276957557,0.07287957130335447,0.07275583715409277,0.07241461620015434,0.0728549380039886,0.07327381173855199,0.07321754835961776,0.0733649227914298,0.07351810702507143,0.07405606999637701,0.07374278029590912,0.07368841678756911,0.07335782003917558,0.0738490018641418,0.07415755704205396
