CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
23.0,23.0,23.5,28.0,27.0,27.0,28.0,32.0,28.0,28.0,31.5,29.0,87.5,91.0,91.0,93.0,90.0
56.0,60.0,56.5,67.5,67.0,76.5,69.0,74.0,79.5,71.5,72.5,76.5,143.5,151.5,148.5,148.0,153.0
634.5,657.5,647.5,716.5,712.5,740.0,703.0,794.5,783.0,810.5,775.0,770.5,733.5,750.0,734.5,756.5,728.0
8.0,7.5,7.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,9.5,9.0,68.5,67.5,65.0,68.5,67.0
20.0,21.0,20.5,23.5,22.0,24.5,24.0,25.0,24.0,26.0,23.0,24.0,85.0,86.0,85.0,84.0,85.5
7.0,7.0,7.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,64.0,63.0,62.0,62.0,61.0
4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,44.0,43.5,43.0,43.0,44.0
37.0,40.5,37.0,52.5,51.0,45.5,45.0,46.0,47.0,55.0,46.5,46.5,103.5,105.0,109.0,102.5,104.5
6.0,5.5,6.0,6.5,6.0,7.0,7.0,7.0,7.0,7.5,6.0,7.0,56.0,55.0,57.0,56.0,56.0
10.0,10.0,11.0,12.0,12.0,15.0,13.0,13.0,12.0,14.0,12.5,12.0,64.0,67.0,64.5,64.5,65.5
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,29.0,29.5,29.0,29.0,29.0
28.0,30.0,29.0,33.5,32.5,33.0,33.5,34.0,35.0,36.0,34.0,34.5,94.5,94.5,91.5,95.5,101.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,38.0,38.0,38.0,38.0,38.0
4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.5,5.0,40.0,40.0,40.0,40.0,40.0
38.5,36.5,36.5,42.5,42.0,42.0,48.0,44.0,44.5,49.0,44.0,45.0,104.0,108.0,106.0,107.0,104.5
29.0,30.0,27.0,36.0,37.5,30.5,32.0,32.0,32.0,38.0,32.0,33.0,90.0,83.5,88.5,95.5,93.5
27.0,25.0,30.0,31.0,31.5,34.0,31.5,37.0,32.0,35.0,33.0,33.0,84.5,87.5,88.0,86.0,85.0
3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,43.0,42.5,43.5,43.5,43.0
16.0,14.0,17.0,18.0,18.0,19.0,18.0,19.0,19.0,21.5,20.0,18.0,78.0,77.5,79.0,76.5,78.0
49.0,44.0,50.0,54.0,54.5,51.0,54.0,57.0,58.0,66.0,59.0,62.0,144.5,150.5,149.0,143.5,139.0
21.0,21.0,20.0,24.0,24.0,20.5,28.0,24.0,25.0,26.0,25.0,25.5,86.0,88.0,85.5,83.0,82.0
3.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,42.5,44.0,41.0,42.0,42.0
