PB-A,CAWPE-A
-0.8166666666666667 ,-0.19999999999999996
-0.026132235484825572 ,-0.012491136162691374
-0.0319469201296827 ,-0.029539235190101265
0.005220195991743615 ,0.0064029546124330095
-0.015873239021519492 ,-0.02602180960802014
-0.0018079870321285885 ,-0.007056226053643311
6.698644267567611E-4 ,0.0036617742410799403
-0.004354833480699649 ,-0.007094886531098132
0.002614073091654956 ,0.009785949012668937
0.007535462717355279 ,0.007139286766869479
0.009788815207776635 ,-0.0023217580312442365
0.013229929266131757 ,0.0069606690244573555
-0.005131948128502817 ,-0.02042684939581829
-0.018365134099620595 ,-0.011993715001478167
0.0012498600058900022 ,0.008909409077508479
-0.021210786914239277 ,-0.008321581196585881
0.0012801650456781832 ,0.009081852343054586
-0.0054665340406763185 ,-0.020819024462131352
0.0067177645151736964 ,-0.002379133510171938
-0.046999889478341106 ,-0.03706046271736274
-0.013517094017097442 ,-0.007987555260834944
-0.0036075154730370596 ,-0.0075943781314510295
0.015903595638073975 ,0.01269299292660897
-0.009553765104631018 ,-0.01246094164456546
-0.0033062186855333797 ,-8.877541998268956E-4
-0.013501576775719393 ,-0.019408016504571357
0.01093744473916447 ,0.010113491010900422
-0.0034461538461580954 ,-0.0025634836427985697
-0.02614398762157788 ,-0.017330872384324403
-0.01751455201886598 ,-0.019750493663428736
-0.0042712275272651645 ,0.005891055113464327
-0.0018923713778827844 ,0.06221170904790074
0.04080425783560082 ,0.027991326631184865
0.021289178001183018 ,-0.027715355805243203
0.02724226296077259 ,0.004770352848413206
0.0312635521387743 ,0.03248570865365685
-0.05901833234772358 ,-0.06753400354819683
0.007806031933767277 ,0.019199684604770284
0.032840528287009896 ,0.023891188645771777
-0.035757934161246174 ,-0.025586438005125056
0.0400946185688944 ,0.03161837177212712
-0.04604770352848431 ,-0.02609895525330197
0.0581904198698997 ,0.060240488862606245
-0.07541888428937538 ,-0.09753597476838194
0.00512517248176636 ,0.015020697811945372
0.02976542479794997 ,0.002050068992706655
0.006780997437413783 ,-0.052000788488074434
-0.0193968066232999 ,-0.02069781194559439
0.007806031933767055 ,0.02661147250147855
-0.07447269860043393 ,-0.0458505815099548
0.136684407648335 ,0.1319929036073334
0.07762665089690535 ,0.02818844864971426
-0.053025822984427706 ,-0.03634930021683447
-0.11484328799526966 ,-0.11780011827321168
0.05302582298442737 ,-0.0016558249556476445
-0.10975753991720927 ,-0.09576187660161661
0.018687167356593815 ,0.04427360536171898
-0.09670806229055817 ,-0.11180760890991559
0.05925487876995905 ,0.0736053617189042
-0.03252513305736271 ,0.021919968460477057
-0.020461265523358696 ,-0.007175241474472571
0.0883764240211401 ,0.04726955253664955
-0.08443165246757212 ,-0.09474381325175674
0.03421844676161989 ,0.07372860541868165
0.09994874072124849 ,0.10392898259925698
-0.008412771509708872 ,0.020993717311930782
-0.05595545102683008 ,-0.07125193250222028
-0.042387805225705066 ,-0.08671710360404805
0.00159824786465379 ,0.10001288334813574
