TRAINTESTDIFFSACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
musk-1,0.032245600020191625,0.032380930855997865,0.03231938307605692,0.03325110977542319,0.03289862707623609,0.032981985423595074,0.032360160044996915,0.032814175307929835,0.03308267651858375,0.03309866208093267,0.03239511824505623,0.03134508438216197,0.03151621513704081,0.03940866921316989,0.031132374590251893,0.03141497248869222,0.03190152320890846
musk-2,0.00411587922659734,0.004086793211754674,0.004222449253117869,0.004256325934366984,0.004234505718193962,0.004232254038167193,0.004237075150566553,0.004245399932717606,0.004242428964758717,0.004270010586475374,0.0042266101725830455,0.004185466983238402,0.004180907686639451,0.004621570747680937,0.004139121904725068,0.004154565329163036,0.004172424567129665
nursery,9.843339425486771E-4,0.0010197513727428144,9.858344948383041E-4,0.0010233286830404738,0.0010315876983445654,0.0010964195128508258,0.0011014635836053672,0.0011419129840820035,0.0012030007990150532,0.0012303923996640407,0.0012783152902853272,0.0013268593254107234,0.0013668969822579662,6.029265455559984E-4,0.0014397431098834817,0.0014583598463070644,0.0015366416913767619
oocytes_merluccius_nucleus_4d,0.02479821115406932,0.02518941996120913,0.025313194773166646,0.025283242762353327,0.02553429482958586,0.025314410285181575,0.024662594300379745,0.024473345225760525,0.024436112054927513,0.023531810451093742,0.023430770169029187,0.023388603506768753,0.02364716675567134,0.02576384220995476,0.02441412313434581,0.024607715371263217,0.02474285374579673
oocytes_merluccius_states_2f,0.016489375130313837,0.016393178800024617,0.016317770378091942,0.016070645773055513,0.01589414438957582,0.01591901809093513,0.01578582920869981,0.01569629893100528,0.015925128080880847,0.015778876896833462,0.015807990816023437,0.015516117708537044,0.01562281719342399,0.01701406285570186,0.0157661659497115,0.015639723322138817,0.015715434817757397
oocytes_trisopterus_nucleus_2f,0.021576590572357307,0.02197790023582207,0.021760700820359944,0.021311511608886977,0.021631554519999516,0.021458296472158255,0.02159452918394254,0.02093452236965975,0.020562097228079675,0.020382066849183967,0.020576256548505898,0.020262535967721134,0.02052332864636191,0.02807060148886203,0.020842120243447487,0.021185138827978435,0.02085393610522598
oocytes_trisopterus_states_5b,0.013193220177162871,0.013504291741133509,0.013531077754429648,0.013442754082908152,0.013334599752714482,0.013509347526503712,0.013509653987542827,0.013731780843678576,0.013559118644636284,0.013700607743473852,0.013650130882717092,0.013547167501752349,0.013405498034324078,0.017733582190511826,0.013584109462166696,0.013599461803811707,0.013754216005295099
optical,0.0028530959132513365,0.0028432430050668316,0.0028603784250476427,0.002874691894149067,0.0028210113788780756,0.002859441289098166,0.002899258720275971,0.002873534385698311,0.0029144987717970583,0.0029383010617068496,0.0029076521900018343,0.00287979079370482,0.002898636636674981,0.003200829071058671,0.0028862349586092654,0.0028961163974688827,0.0029036491236097126
ozone,0.002542277666661421,0.0025528144719053234,0.002554620623641646,0.0025546113619945407,0.002554575594720102,0.002562917707082196,0.002608721964667132,0.002608721964667132,0.002586031138409254,0.00255059056446935,0.002609220065653007,0.0026278169783737313,0.0026317700800521384,0.0030608617701314875,0.0026317700800521384,0.0026317700800521384,0.0026871941662552088
page-blocks,0.004371881836272862,0.004357567187070272,0.004353444576579176,0.0044502037642358645,0.00446148802651088,0.004491918061293905,0.004506512727634195,0.004523522013635688,0.004460233688100997,0.004490884157022833,0.004504203702922394,0.004387274306674447,0.004403801689330369,0.005102993809980352,0.0044937478072290754,0.00440971149837666,0.00440844640778375
parkinsons,0.041768606214341614,0.041238474453133424,0.04143442331325303,0.04230372765111648,0.04315776101903447,0.043648831446570356,0.04424916086264836,0.04461472225909767,0.04453734357332696,0.04518307862108565,0.04518735358210808,0.04536179892816239,0.04731485592137032,0.04959097680124057,0.04852116579683627,0.05098839096564442,0.05166058199822525
pendigits,0.0015054901511497893,0.001497853342107902,0.001514559302850336,0.0015250479824803853,0.0015126225147253348,0.001516521270794551,0.0015031728915899643,0.0015190343034981277,0.0015257807436963521,0.0015456073507177843,0.0015367102034884843,0.0015368205097549346,0.0015315009686924334,0.0017595380309683366,0.0015229728919493616,0.0015116911504626403,0.0015135495750665548
pima,0.027877826216264102,0.027686331756948433,0.027808255251010706,0.027660980805379654,0.027774176236228035,0.02840686966129046,0.028003787509240742,0.028035085137430825,0.028408927637984336,0.028118375168747347,0.028551252340608697,0.028730879935105806,0.028896985480763894,0.041394887097824476,0.029945769225856556,0.03036748766612049,0.03066443824837302
pittsburg-bridges-MATERIAL,0.059931307331327434,0.058871356726359646,0.05835216440859116,0.05937368610482812,0.062122546038374894,0.06318995392066037,0.06450472936304948,0.06353481570387824,0.06343045274656135,0.060744742766403265,0.059803758273226565,0.05872934977152378,0.061476749198282485,0.06733162683194245,0.06299195178751225,0.06439127602223724,0.06439127602223724
pittsburg-bridges-REL-L,0.07150521254511284,0.07275839315041545,0.07386720507802032,0.07907519208139088,0.07948003460839437,0.08323486913553808,0.0826903943218485,0.08326656626474019,0.08217256476108091,0.08226585805204083,0.08545993782505797,0.08827575161854796,0.09495568183865596,0.11493848821990331,0.09753970566525538,0.10063073491117558,0.10139191526229867
pittsburg-bridges-SPAN,0.09362255404590426,0.08834781526559486,0.08834781526559489,0.0851543637843186,0.08183639093227695,0.08081780033056155,0.07543628400443227,0.07495952017990763,0.07595297692048181,0.07523799956293777,0.07229240106816197,0.07432273205777853,0.07879282257308558,0.08834781526559489,0.07918824189645161,0.08022752448630631,0.08294403123645586
