TRAINTESTDIFFSACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
low-res-spect,0.026251308982264805,0.026229698878154413,0.026233131390299237,0.026447423085410236,0.026222118463893572,0.026027916111295325,0.02605248409018762,0.026534110087206277,0.02676737571379276,0.026909466397733863,0.02680001241219137,0.026325879048119366,0.026928265577149706,0.024650406102933568,0.026214144613017246,0.026054353301424842,0.026134969378001527
lung-cancer,0.15174086757250102,0.15102437826811865,0.1534254913794637,0.15408608524122253,0.1638096612294042,0.16731483820374876,0.1694113577737832,0.17668351664644505,0.1813499672241139,0.198276656940985,0.21595516666434247,0.22281235196193014,0.24114416431509358,0.23803883324966985,0.23247975036517796,0.22780369471668366,0.22277252257156152
lymphography,0.048291413950684,0.047756470617550235,0.049001180554909554,0.048853180440209275,0.04843235332522652,0.05034554618178928,0.05259933536923173,0.05185101801221193,0.05237917495876239,0.05606460604627407,0.05772164003968272,0.06312538121174745,0.06041072710406889,0.06727523229387651,0.06019622022218976,0.05980310165878627,0.057844195565626484
magic,0.004275252784991916,0.004314067136823409,0.004297353031121382,0.004319996307332322,0.004344568258046916,0.004308051628839731,0.004390074595169158,0.004409266989400405,0.004453006548628764,0.004597721595375911,0.004571858416202397,0.004585043859621509,0.004600572033857185,0.005143335216367617,0.004634345756711223,0.004609265806519233,0.004652470507019159
mammographic,0.027894340619738646,0.02754880592604751,0.027328075455806553,0.027039609674152365,0.026391326657681246,0.02624810892622348,0.02614390597349139,0.02633320287392922,0.026389471831462372,0.02727900426443719,0.02778354637810086,0.027344361651379403,0.027426874040381844,0.02993969344835279,0.027299584495518402,0.0272671739011544,0.027061969569722743
miniboone,0.0011788580693037406,0.0011687686294086317,0.0012149956451784766,0.001219380145879895,0.001229507565300214,0.0012961512458150436,0.0013171136985402222,0.0013101790904598274,0.0013432870517310392,0.001358418362825658,0.0013786740137075443,0.0013677378859063517,0.001390378509588524,0.0011325472344614728,0.0014025326933061065,0.0014296162195394648,0.001456655976877561
molec-biol-promoter,0.06092164914000673,0.061103368474656146,0.061265654613753454,0.0620887694198549,0.058629466747334616,0.06088998354769076,0.05994604092462565,0.06137764630659997,0.06042622974154608,0.06446349958360677,0.060374098007057696,0.06165717298528581,0.061534675031687615,0.08009896931652825,0.06522784930192596,0.0647093172909391,0.06570746494849553
molec-biol-splice,0.00850889398910405,0.008790095963252828,0.008830564133145053,0.008643649186107587,0.008694324201968688,0.008634581517982218,0.008986357464484306,0.009035752654554354,0.008804302459098442,0.008513742885667605,0.009119185172892163,0.00959881204751943,0.009454873156799147,0.00852175857057925,0.009444995186666215,0.009469563221398799,0.009702286678350385
monks-1,0.012066039480973791,0.012322169532901914,0.012115243638548939,0.012035802599395535,0.012146507253438202,0.012249536011625189,0.012624434408099341,0.012334233535725747,0.012869455985610284,0.012827784674957564,0.013549508268081017,0.013230168005914901,0.013834643683819384,0.013105927719396027,0.014557532588979186,0.014608525923597472,0.01370231889623924
monks-2,0.04871216308675417,0.04845883985324667,0.04863628232381596,0.050226944888156835,0.050954287226131524,0.05039990491233181,0.05064839350363422,0.048891003507358845,0.04773949566859887,0.046591935663031436,0.04570829590882922,0.04471807028013061,0.04719010296586935,0.04928341849791259,0.04466042685515186,0.04283799816231024,0.0426055073932797
monks-3,0.016624439816055554,0.016331248885417853,0.016193534921491334,0.01632987290780862,0.016126327116241564,0.015476446682881938,0.015624319550775206,0.015714186659012315,0.0148299068781306,0.014970658928723039,0.01563390443576406,0.015792638026298163,0.016102621827866096,0.013684627561267005,0.016473723054445777,0.01595871203795993,0.01593052637124484
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
