TRAINTESTDIFFSACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
steel-plates,14.0,15.0,16.0,13.0,8.0,9.0,10.0,6.0,7.0,12.0,4.0,5.0,11.0,17.0,3.0,1.0,2.0
synthetic-control,6.0,7.0,9.0,4.5,1.5,1.5,3.0,4.5,8.0,10.0,12.5,12.5,11.0,17.0,14.5,14.5,16.0
teaching,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,17.0,14.0,15.0,16.0
thyroid,5.0,3.0,6.0,8.0,7.0,4.0,1.0,2.0,10.0,9.0,11.0,12.0,13.0,16.0,14.0,15.0,17.0
tic-tac-toe,2.5,1.0,2.5,4.5,9.0,7.0,7.0,4.5,7.0,14.5,12.0,12.0,12.0,17.0,14.5,10.0,16.0
titanic,1.5,1.5,3.5,5.0,8.0,3.5,6.5,6.5,9.0,10.0,13.0,11.0,12.0,17.0,14.5,14.5,16.0
trains,1.0,2.0,4.0,7.0,6.0,5.0,3.0,8.0,9.5,9.5,11.0,12.0,13.0,17.0,14.0,15.0,16.0
twonorm,1.0,2.0,13.0,5.0,3.0,6.0,10.0,8.0,11.0,12.0,7.0,4.0,9.0,17.0,14.0,15.0,16.0
vertebral-column-2clases,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,17.0,16.0,14.0
vertebral-column-3clases,1.0,2.0,3.0,4.0,5.5,5.5,7.0,8.0,11.0,9.5,14.0,15.0,9.5,12.0,13.0,17.0,16.0
wall-following,7.0,9.0,10.0,11.0,14.0,13.0,16.0,15.0,17.0,12.0,6.0,2.0,5.0,8.0,4.0,3.0,1.0
waveform,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,17.0,15.0,14.0,16.0
waveform-noise,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,13.0,12.0,17.0,14.0,15.0,16.0
wine,10.5,1.5,1.5,3.0,7.0,7.0,7.0,4.0,5.0,10.5,10.5,10.5,13.0,17.0,14.5,14.5,16.0
wine-quality-red,10.0,12.0,14.0,16.0,15.0,13.0,7.0,6.0,11.0,9.0,8.0,4.0,3.0,17.0,5.0,1.0,2.0
wine-quality-white,9.0,11.0,12.0,13.0,16.0,14.0,17.0,15.0,10.0,8.0,4.0,6.0,7.0,1.0,5.0,3.0,2.0
yeast,2.0,3.0,1.0,7.0,5.0,4.0,11.0,10.0,6.0,12.0,13.0,15.0,16.0,17.0,14.0,8.0,9.0
zoo,2.5,2.5,2.5,2.5,6.0,7.5,7.5,11.0,5.0,9.5,9.5,12.0,13.5,17.0,13.5,15.0,16.0
