TRAINACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
conn-bench-vowel-deterding,0.005127246981311319,0.005127246981311319,0.005127246981311319,0.005127246981311319,0.005127246981311319,0.005127246981311319,0.005127246981311319,0.005135017965905485,0.005641701456638306,0.005982310937046055,0.006042777290200905,0.00756510726269768,0.007631783236378593,0.007398641679167059,0.008586302499775971,0.011247800283707567,0.02044908714205333
connect-4,0.0023403271089005922,0.0023326695495541235,0.002412363454702937,0.002433605795849688,0.0024112506869258944,0.0023256418323779147,0.002351018645419579,0.0023646953384041285,0.0023318851297744994,0.002322786278544693,0.0024037662645874543,0.002264050654359049,0.0022317199718450017,0.002177107334603124,0.002171269732038612,0.0020254935142736924,5.405121257470445E-6
contrac,0.016517312612533072,0.016223578757485528,0.016560987586944482,0.016835259640103656,0.016687502235818233,0.016777466924193723,0.016693557450638854,0.016851113154092986,0.016969448381765395,0.016757163816466577,0.016874392670980936,0.01705125163353896,0.017185487147845353,0.018346686787322493,0.019394318020359683,0.02022168300627621,0.020657583926358598
credit-approval,0.014256557316920878,0.014782047135836555,0.014986955282197047,0.014410723372236582,0.014349932611250176,0.014427227612712812,0.014393525390422685,0.014189631165716074,0.014810931170573319,0.014930137730043997,0.015151963719692862,0.015445606049536594,0.015044203903548695,0.015141703374030252,0.015185581785311457,0.015917591376320504,0.012462138753367134
cylinder-bands,0.032299034401184853,0.032161631022966965,0.03180215548411309,0.03276483992510703,0.032065782041273576,0.03197129147856669,0.03235003747746612,0.030560196086004,0.030190658690584016,0.02952096410222377,0.03025304484414675,0.03062898800051519,0.03085150238769492,0.030241737841265704,0.03126571084955788,0.03101225113927679,0.023251175079994878
dermatology,0.014167170736090104,0.014114410985709331,0.013891381330680458,0.014424467774893915,0.014424467774893915,0.01438592537394319,0.014410026455296474,0.014290328730747245,0.014290328730747245,0.014290328730747245,0.014290328730747245,0.014410026455296474,0.014410026455296474,0.014236806712248381,0.014191643324266912,0.014191643324266912,0.012717698859412598
echocardiogram,0.042849595951690744,0.04171394311735439,0.04270650388070708,0.04262999171914087,0.0417302446315635,0.043153273249876035,0.04282419230579302,0.04284959595169074,0.04263318246737476,0.04293522228810904,0.04303964535832311,0.04303964535832311,0.04631272389101364,0.04597371272937805,0.04401467606577378,0.04841499175089824,0.04133723404288184
ecoli,0.02209150057523127,0.02228794017123907,0.022536403269055774,0.022280452830750228,0.02214807301248332,0.022189467798941175,0.022451101016896107,0.022057487467182984,0.021397071348400448,0.02168751633527412,0.0219256639094761,0.022016791834249153,0.022269217099914324,0.022313191396618155,0.02189139313910362,0.022344015251909866,0.01801565237837254
energy-y1,0.015791339937140388,0.016009406538803863,0.015832224214689196,0.016552063946857532,0.01703844061280474,0.016105782741132342,0.01578066784776165,0.015631746756623505,0.016099943433644088,0.01615460408012054,0.016514385520251723,0.01600720386413379,0.015584555712266685,0.015207938603605663,0.01463233845399185,0.014316183752965818,0.011726483227182574
energy-y2,0.012085822258214803,0.011925262568506203,0.011607944365350112,0.011480335907983402,0.011476581319737252,0.011339206313565105,0.011281009966110166,0.011290730188219151,0.010926399656383702,0.010893361101543632,0.011323647333691253,0.011134188382642992,0.011456080086290418,0.011273714299631338,0.011239256655375063,0.011628177855283493,0.01580745848776629
fertility,0.02643578209005068,0.026339952609074225,0.02622624814863963,0.025810984029124587,0.025810984029124587,0.026226248148639632,0.026617771265198695,0.02715642215697452,0.026226248148639632,0.028324880415894305,0.02825174188506313,0.02835732587947043,0.02763472744427816,0.02715642215697452,0.02736723437326798,0.031043166090454443,0.0576513500355329
flags,0.059662814054541276,0.05927271976305655,0.05999115249795761,0.05965758776365147,0.05878146150882662,0.06059929129950742,0.0598912781459586,0.060472584441458886,0.06034871161784309,0.059137898745285696,0.058734764063359826,0.05955296562890851,0.060177970144205464,0.05729547618821872,0.046375451170466986,0.04749155500649421,0.05195266174989598
glass,0.04018488820988561,0.03877876121701557,0.04052075848911091,0.04102703192094181,0.04245570058126609,0.041576060685987085,0.04167124065910028,0.0412298235521892,0.04325365440800455,0.04469395907553441,0.04562319879916781,0.044927780787456906,0.04993910332306808,0.04778842345943569,0.04835124007365427,0.047278475598930725,0.04241516303403408
haberman-survival,0.023970052013105883,0.02416333283987648,0.024409151302400255,0.024270159861969176,0.024536206395212687,0.02447936725383548,0.02435303706396524,0.023977315193762665,0.023060319720067796,0.022943525003233073,0.023458162040526767,0.02394513295376995,0.024596959722934852,0.02371968339034452,0.023960710402855766,0.023461343023935582,0.020291167071887127
hayes-roth,0.06745368986393468,0.06769353565313088,0.06579367900069552,0.06562550880405253,0.06562550880405253,0.06562550880405253,0.06637891957347461,0.06502215970307205,0.06553704670410843,0.062428280922129716,0.0605411591977441,0.061877118613098095,0.060965567893170355,0.05735914082013984,0.06032783521096635,0.058428036620247925,0.05406149638117868
heart-cleveland,0.028212838214227424,0.028558380527258866,0.028626274670878263,0.029396657528002152,0.02955264583954365,0.02894483236368698,0.029216241393700312,0.02940795107121365,0.028575369186380265,0.02954227224330541,0.029680288749098876,0.03212046291588953,0.03147217952877093,0.03157912885610281,0.03248813517583096,0.0319042308936359,0.032598019982336926
heart-hungarian,0.023911513739693982,0.023844684336396627,0.023575472385886507,0.024374189563384496,0.02488815973027724,0.025143320537361312,0.024689673554838726,0.025412668337953883,0.02409654639927707,0.024162679209758342,0.02428126436971114,0.023947079829801127,0.023605912001386987,0.02267847352319854,0.022748729185684026,0.023659930177288485,0.02632561835414772
heart-switzerland,0.05933169546932639,0.05924051407924137,0.060076733736398276,0.05924051407924138,0.05771656528051821,0.05722475683904115,0.057972894736851445,0.060294864026956496,0.062436739554800724,0.06219135891007772,0.06243673955480073,0.05948768126686794,0.060117854024399855,0.062347621968186315,0.06758961040936404,0.06356446714243345,0.05976742980877565
heart-va,0.04873118466347874,0.048750433638569436,0.04967977773219433,0.050092357765705975,0.04867339206361705,0.045668831942957115,0.04605241697599438,0.04615035629938697,0.04538547585902061,0.047447195762071265,0.05081756325311966,0.05212653101311794,0.05630152626895345,0.05354159647622519,0.05547792302352085,0.05547475204109287,0.05328360551073634
hepatitis,0.036332168159623375,0.0351717535056943,0.03357854297060951,0.03392318295804375,0.03452644749046775,0.03506134119900965,0.03504751520328337,0.035686115720647844,0.03646797986753424,0.03773253491777938,0.03642808780833688,0.03615029220618889,0.03624401881463746,0.0351027865121895,0.03519379439991814,0.037629637167125245,0.04962135354253168
hill-valley,0.018097850264492753,0.017896459195141767,0.020077384447239013,0.02135848978517923,0.020865695995484185,0.022157658002182123,0.02373343330483561,0.023507970631330512,0.023442572719145485,0.02259851602609861,0.023030461034636285,0.024062237356516504,0.025317514196740398,0.02493352096691904,0.02571926783189242,0.02999077632908586,0.01603060479332982
horse-colic,0.021804623982370822,0.022071577210652712,0.02177346114812086,0.021620899130932326,0.021714910295958078,0.022270645000781675,0.02232165555305641,0.021743034382095176,0.021994532933349006,0.021990673633967943,0.023699697970589885,0.024593914149066944,0.023846079744832764,0.022921968491085885,0.021425302239129983,0.02106011006338902,0.023996520735501188
ilpd-indian-liver,0.017286879033123207,0.016894941611731516,0.016575375172113892,0.016453318980422404,0.016663174494439194,0.016565135746896168,0.01706560797514776,0.01703535683865766,0.016780064914503956,0.016619536995954302,0.016496573358158483,0.017156041337805975,0.017092629399007617,0.017310418891106946,0.01839168007350381,0.018620521392152253,0.018310687573791458
image-segmentation,0.0062586098856951995,0.006278059949305075,0.0061990596996715636,0.006306541958846876,0.006541001604308627,0.006549426662193676,0.006746430202761549,0.006858652539905171,0.006772243157947812,0.00671314211388368,0.006742405972261664,0.006437769783004003,0.00628848179379828,0.006507523310294143,0.006270987933424889,0.006454811646262906,0.007875468112029226
ionosphere,0.01397561631122014,0.013916408735377002,0.014372805138968145,0.013683874327398014,0.013793150363513923,0.013890763811206994,0.014103933766485879,0.0143217935205682,0.014388464637136287,0.014835401548455553,0.014785985972770211,0.014663638183478855,0.015719807956404985,0.01665310262030703,0.016759814767448176,0.017366899418212185,0.019847885049385366
iris,0.02557537129463105,0.02557537129463105,0.02494028628442173,0.02494028628442173,0.02502616765884019,0.02502616765884019,0.025103616689258673,0.024531367570754057,0.024531367570754057,0.024531367570754057,0.024531367570754057,0.024531367570754057,0.023924103066470897,0.023527924226136157,0.023834250980378176,0.023834250980378176,0.019620928696467907
led-display,0.017805444695405077,0.017745648185710765,0.018004413338775362,0.017748280836852117,0.017669130671349134,0.017734455058355303,0.017777082858765298,0.018046274027272713,0.018267058522311218,0.018464089408611207,0.018670429415920137,0.018721908639600503,0.018796999057350137,0.018604247791034242,0.018784193925434997,0.01834108169948959,0.017844761354313753
lenses,0.17281799300473347,0.17281799300473347,0.17281799300473347,0.17557191216916707,0.17557191216916707,0.17445922634986144,0.178230006492204,0.178230006492204,0.178230006492204,0.1798218511933941,0.1776160167771701,0.17942521402667225,0.18412847766095672,0.1848236446300231,0.18233989933767136,0.18889065837342686,0.19698979079244444
