TRAINTESTDIFFSNLLSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_pb,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
hayes-roth,0.15130680948978747,0.14974816706894867,0.14807232961735625,0.14626198883679117,0.14429847884161598,0.14216202889260712,0.1398339703247552,0.13729938619059337,0.2311385827377653,0.13455195976869253,0.13159864388155681,0.12845997566396747,0.12516138749512964,0.12171769704796288,0.11812984350019998,0.11446354068518573,0.11110378124942054
heart-cleveland,0.1603621256824658,0.15501407056264166,0.1501123910266897,0.14569044609961992,0.1417775756329192,0.13839726312692435,0.13556389732860186,0.13328412323910957,0.3146601459702879,0.13155775533290473,0.13037409663818805,0.12971713551582284,0.12956288240221875,0.1298822294465447,0.13064266588462023,0.13180825426292855,0.1333401304229308
heart-hungarian,0.12940569430769625,0.1285466416483334,0.1277743597785358,0.1270842118600021,0.12647097918511363,0.12593076327808578,0.12545767598018354,0.12504755080518107,0.3149814544479732,0.1246949240630472,0.12439613752159151,0.12414565439586878,0.12394008405832675,0.1237751037079859,0.12364708606020132,0.1235524244103395,0.12348837331165433
heart-switzerland,0.9808630703787848,0.9202751415607711,0.8586001531175306,0.7959203061970084,0.7324000496302673,0.6682886784594779,0.6040696050852524,0.5405147701826782,0.5663199850500046,0.47878171373504835,0.420459678253872,0.36761519436546153,0.3226941689823733,0.28817138161157774,0.26565660056068136,0.2548643038867548,0.2536089851531251
heart-va,0.5022012952522533,0.47275250079933406,0.44298127189642317,0.41308920684768635,0.3832131992788589,0.353633504408889,0.32473223514266064,0.29701957543131713,0.42797964975150365,0.27117359011222875,0.24804011202927154,0.2285516174403666,0.21359369386479543,0.20370890474657707,0.19882850833562365,0.19823531900574934,0.20082583836369722
hepatitis,0.138296913036185,0.13686765004144835,0.13557384866973143,0.13442034592669527,0.13340933333974583,0.1325448589070605,0.13182809588269204,0.1312590793108332,0.30083235056653845,0.13083832468675172,0.13056316142501656,0.1304301433483215,0.13043480814102829,0.13056995356591597,0.1308289015727363,0.13120190909152762,0.13167940650965432
hill-valley,0.019851098808557018,0.020033345755360834,0.020242477631950983,0.020479131287771426,0.020743430524329937,0.0210350189730221,0.021353492688238086,0.02169873474301759,0.08689240277868107,0.022071973106095596,0.022476948328484594,0.022921740976369533,0.023420892206673184,0.023997864435477724,0.024687152447448978,0.02553576256342087,0.026603267080654504
horse-colic,0.07340788592582054,0.07377180327334401,0.07415030707402356,0.07454419108661951,0.07495409787228527,0.07538111111883278,0.07582625286908548,0.07629120382300403,0.2005378658845856,0.07677768147835952,0.07728813790621544,0.07782557162907115,0.07839404909169244,0.07899843632194284,0.07964492218931926,0.08034093579649348,0.08109559605186242
ilpd-indian-liver,0.04668679643811993,0.04652046116579895,0.046360418631615066,0.046207070408442436,0.046060902489504126,0.04592233039574661,0.0457918001952941,0.045669856993424365,0.19170147831873383,0.045557015354234634,0.04545379287954345,0.04536081885952421,0.04527870060311284,0.045208124186579594,0.04514973288635578,0.04510425580979455,0.045072379630135044
image-segmentation,0.02743761341769342,0.027423668117870784,0.027406339626616122,0.027385080296107554,0.027359145973940457,0.027327870533298302,0.02729067503759745,0.027247130215798228,0.0421527239281766,0.027197249341242614,0.02714179853228965,0.027082717506111374,0.027023814210853637,0.02697147225567969,0.026935728258092657,0.026931319446234985,0.026978518900127896
ionosphere,0.06029751082625374,0.06033616618511243,0.06037922756512853,0.06042715979362832,0.060480399959936294,0.060539597094478065,0.060605308547707105,0.06067829262386441,0.141038415464208,0.06075914656377109,0.06084873342232381,0.06094791112942635,0.061057491259146605,0.06117844880624297,0.061311720225791774,0.06145836447181679,0.06161937083953522
iris,0.09665953690437502,0.09617645463706358,0.09568813442447827,0.09519345264677166,0.09469128148355924,0.09418063518731977,0.0936605754297358,0.09313037239050038,0.1974353312745357,0.09258968302736888,0.09203830663603574,0.0914766386276789,0.09090559514049107,0.09032653114535939,0.08974148320394261,0.0891531625075145,0.08856470264013373
led-display,0.13022659311345827,0.1302309610401566,0.13023650115594582,0.1302442889901269,0.13025494075495123,0.1302653676176221,0.13028471719091578,0.13029959239855005,0.1387970278334607,0.13031722141499746,0.13033767902177612,0.13035849001962824,0.13038202950050196,0.13040409476406106,0.13043249008833793,0.1304574367063813,0.13048751146751528
lenses,0.34456520173398,0.3428323633512261,0.3415099308711215,0.34057540830332667,0.3399821889391124,0.3396717203011457,0.33960126904282306,0.33977461355844124,0.649482479979621,0.34029586351856983,0.341407129170113,0.3435593674499669,0.3474961764766443,0.3542317920624653,0.3646814609621544,0.37912771844452997,0.39779755532181144
letter,0.010906655158859855,0.011044224982838037,0.011191662294134007,0.011349309084541414,0.011517563105695147,0.011696669448734846,0.011886927985022102,0.01208853061735883,0.013789916146287965,0.012301617442520897,0.012526287775589113,0.012762550528161018,0.013010366077706824,0.013269577596814307,0.013539967838770962,0.013821246128917835,0.014113026147565832
libras,0.15702218806029675,0.15653309145274752,0.15607365376365273,0.15565150741200967,0.1552741635081654,0.15495161174064948,0.15469438929347784,0.15451490995901582,0.25538051843117515,0.15442457136440904,0.15443368375255298,0.15455336312041273,0.1547885047043794,0.15514362337704019,0.1556172432874107,0.15620457103880903,0.15689837933937203
low-res-spect,0.09263218727282005,0.09237488883051813,0.09212259307111419,0.09187500558443505,0.09163199100887574,0.09134205806673008,0.09110928121750972,0.09088185156777756,0.12415400574455164,0.09065958534287875,0.09044449314833027,0.09023367384408765,0.09002849747297838,0.08978071324559644,0.08958778553748037,0.08940001655730652,0.08921889847166423
lung-cancer,0.4215208938982642,0.4113250296703511,0.4010632075806179,0.3905424943153495,0.37952905218974053,0.36780886429464876,0.3552724879390077,0.34203477219875894,0.8827347488079023,0.3285894336138491,0.31594359197141175,0.3058466170774963,0.30132279520403715,0.3072455412793576,0.3294617252005102,0.371512361913157,0.43030975996023896
lymphography,0.1432387057011672,0.1430496840030167,0.1429083346364262,0.14281571598611645,0.14277368727832593,0.1427853310404926,0.14285449592539026,0.14298613339730087,0.3142621423387812,0.1431858958530175,0.14345991950040585,0.14381518878270388,0.14425863694105392,0.14479825029074106,0.14544152570023355,0.14619705823771892,0.14707279383843347
magic,0.010696676104279193,0.010686818020499467,0.0106772070486671,0.010667866110100234,0.01065878596474432,0.010649983422951235,0.010641455884990646,0.01063320296222378,0.01510856716207673,0.01062522893932133,0.010617537711831595,0.010610132104415481,0.01060299876806382,0.010596159337215784,0.010589603454874813,0.010583335082166386,0.010577363553520663
