TRAINBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_pb,CAWPE_alpha=1,CAWPE_eq
monks-3,0.007848107862205533,0.007969123398908253,0.007759920506931739,0.007853401848765602,0.007865945797914834,0.00794645152111397,0.008357551163684534,0.008472340098390095,0.007627196101841482,0.007568880201749274,0.00818886579696946,0.008035772059135884,0.008204911613186192,0.007996673146644581,0.00867245131270664,0.007730810816886439,0.007504517612833925
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.017859709147154613,0.017842705529160913,0.01783422663157299,0.017993549153244397,0.018332210121755795,0.018605220224442137,0.018453535653953374,0.0181668922793911,0.01821845745708141,0.01841920842386656,0.018366398693847166,0.017596313483737403,0.018056269814364766,0.01784115076384022,0.022932595065990068,0.01734636294250626,0.01818665691035773
musk-2,0.004844362747882422,0.0048793631984510085,0.004902758917265932,0.004976755060901186,0.0049942356822762655,0.005096107307080414,0.005046861160045653,0.005081291299386541,0.005174429161282464,0.005131795876252788,0.0051308286751406175,0.004983540525333581,0.004859953359920768,0.0047798615105427225,0.0055570283948263195,0.004861320650341175,0.004879820639092404
nursery,0.0023696229047897423,0.002469104167460959,0.0025133081427091107,0.0026685809616641713,0.0027334834975486478,0.0026694294242971335,0.0026164231260278224,0.002827624413595589,0.0029131611548010874,0.0030972076473092273,0.0033292135173447943,0.0033936127644565296,0.003456318050067579,0.003625526978876274,0.0014448850299340747,0.0038059221068304345,0.0038987487908694178
oocytes_merluccius_nucleus_4d,0.01775956700141569,0.018135359129592927,0.017846508884866382,0.01774041323960526,0.017677648488078825,0.016854365067361248,0.01680325311617993,0.01682162228217951,0.016886086632482675,0.016635378921563845,0.016775788909236696,0.01708606714461799,0.017256207917009814,0.01738647107391943,0.01852780441859574,0.017264037937177224,0.01706891248945493
oocytes_merluccius_states_2f,0.01661029988865106,0.01661029988865106,0.01659965701689312,0.016633035528706056,0.01649685395931962,0.01649685395931962,0.01649685395931962,0.016379178326109634,0.01651549871554854,0.016577622679369845,0.016600073595570742,0.016565535127437435,0.016720923342575834,0.016720923342575834,0.016291431898065253,0.016651573178739183,0.016706860706459152
oocytes_trisopterus_nucleus_2f,0.011062228144037659,0.011192153654847402,0.01116845428709064,0.01127617418078895,0.011430636053293716,0.01089261650901538,0.011133022861062887,0.010619394676733895,0.010666107612233817,0.010805366044468787,0.010569578251046973,0.010456989385255269,0.010606477370833207,0.010802913122344477,0.015303536819299218,0.010925973765739951,0.01151435802063724
oocytes_trisopterus_states_5b,0.028710395847716282,0.028911607807073615,0.030562646695554457,0.030459186972836377,0.03063274045657997,0.031952984856178236,0.031810207888798576,0.03297363796367351,0.032744399367076626,0.032628666421880295,0.03254318557207352,0.0324970185641079,0.03250961887984845,0.032474333858317224,0.03448966369733382,0.03245944347086375,0.03135378604428919
optical,0.0013049563583884967,0.0012863389864100543,0.0012777936319931067,0.0012694030109637587,0.0012315128705131856,0.0012419700734734814,0.001252987594665211,0.0012499059076681524,0.001290880401782639,0.0013033285817681977,0.0013127277703711521,0.0013291728062689496,0.0013515412012807977,0.0013345946068310463,0.001360935671121053,0.0013069233453811752,0.0013213446798580706
ozone,0.02195748917515688,0.022043859453826115,0.02204588139082787,0.02210939862271699,0.021554108904500047,0.021329799469910052,0.021315100171316638,0.021315100171316638,0.021635708166262455,0.021635708166262455,0.022269598520655493,0.02311964071607,0.02311964071607,0.02311964071607,0.02820310248426419,0.02311964071607,0.023653456454947406
page-blocks,0.026018673575857576,0.028627777877064862,0.028914008620600177,0.028984293186158833,0.029810385911829423,0.02980179430402063,0.029882411820758042,0.02866913855654401,0.028906906500856276,0.02980401868343801,0.02916829091863,0.029568492280920802,0.02955946157708483,0.029942689838376852,0.03054185487529572,0.029779602780695746,0.030009943424112347
parkinsons,0.03013702637347454,0.030333557269507948,0.029711986224684413,0.030131115938980196,0.029867943256559684,0.03088466756805059,0.03020168119144318,0.030331441580578974,0.03045589588218815,0.030755851757479635,0.030990800301550055,0.032072736524200646,0.03270936608937119,0.03314825527959715,0.03589683159660161,0.03495113610593061,0.03495113610593061
pendigits,8.812649755535724E-4,8.798319752449625E-4,8.911871109114638E-4,9.067202661069077E-4,9.00682321287998E-4,8.948026092981277E-4,8.8373572744898E-4,8.780935996254458E-4,8.806453509676192E-4,9.008055029114522E-4,8.905519421857727E-4,8.905519421857727E-4,8.922708928945776E-4,8.780917659058276E-4,0.0010213556205666272,8.766876737880052E-4,8.718700922582067E-4
pima,0.01958578539869143,0.019720308990884474,0.01959507705670116,0.019749939549344276,0.019936583511440804,0.020350481028246745,0.020767546834015698,0.021207609377981423,0.021379021434950515,0.021598136436278927,0.021494391086825722,0.022053258472439996,0.022832134498384043,0.02342636182317653,0.02842633454562119,0.023376240666110597,0.023202321214206695
pittsburg-bridges-MATERIAL,0.09418602949898212,0.09418602949898212,0.09546307995586178,0.09571955388110587,0.09969261242445669,0.1023231229863042,0.10330091648367261,0.10195416808009991,0.10195416808009991,0.10009314957296293,0.09980078911187737,0.09960477314877919,0.10099213097883933,0.1038513679928516,0.10508388129023116,0.10780568013097543,0.10780568013097543
pittsburg-bridges-REL-L,0.060651744059782436,0.0591818902460848,0.05996786111553039,0.06513928746075069,0.06531099753729629,0.06710780322823173,0.0652661058497774,0.06568275973562329,0.06417836290883554,0.0655909263730248,0.06551984393049667,0.0660193088440344,0.06798980115898663,0.07343069091883728,0.07790009019017241,0.07367051145703313,0.0755153946833755
pittsburg-bridges-SPAN,0.06778517324489432,0.06826234435269406,0.06673480146315193,0.06525573374776611,0.05770547684711252,0.05675354632082254,0.057321806584419495,0.06038410499125486,0.05980098968752389,0.061054244281417855,0.061445564882295876,0.06381718452891823,0.0654784847493466,0.06731226931182098,0.06590989995913565,0.06760319904279294,0.06709447316328379
pittsburg-bridges-T-OR-D,0.11003865175283088,0.10965809405073695,0.11160734132620877,0.11232348076073094,0.11261193766911232,0.11081397067378491,0.10804096888942288,0.10909095351828438,0.10867176731070435,0.10619032451060502,0.1021341087479234,0.10045059624481664,0.10255084957056211,0.10645357450044583,0.09783331708517037,0.10645357450044583,0.10667116117180771
pittsburg-bridges-TYPE,0.05953761805473442,0.05927164586663628,0.05904349180918863,0.06432032294059137,0.06494903588850832,0.05965769450166495,0.059554797029016865,0.060185997853904626,0.05751766056876265,0.06158346624920455,0.06653481219058797,0.06844146618871493,0.06937080378750211,0.07007834187839021,0.06426379408104965,0.07266004129678107,0.06996979126711476
