TRAINAUROCSTDDEVS:,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
plant-shape,0.002035359543345158,0.0020795944264859656,3.1457225980907453E-4,4.3277704103756714E-4,5.792110880390832E-4,0.0028591698865898336,4.457732605495842E-5,0.006851493052877944,0.006853418010700439,0.006840963166183652
plant-texture,0.0011442789309130605,0.0010203816212606387,3.739683307754333E-4,4.8698401864457097E-5,5.263660988770998E-4,0.0012349840606382596,1.8442445152996584E-5,0.0047491410740179135,0.004735768512601966,0.004742024175811211
post-operative,0.10665010619641858,0.09620328913588284,0.12169775097715543,0.11167954330909136,0.055470055415672695,0.1284713300121492,0.09685784613401624,0.07207043650907496,0.06993359218562276,0.071365770295946
primary-tumor,0.019689258989999743,0.018287307802893196,0.008076285975875098,0.005040136374132095,0.013461267474199297,0.018536411358187968,0.006637367438373954,0.016754353850693446,0.017287270279655396,0.01636043830247099
ringnorm,4.2513936832555267E-4,4.125581327597597E-4,0.004519176995477229,0.003282005055034429,0.001922870908266781,3.8967469167328913E-4,0.003860943273547173,0.0019274159555200338,0.0019232494407512726,0.0019285059342411196
seeds,0.004390931646694435,0.004170278298966257,0.0029575317392676135,0.003969679491057578,0.009505505012735827,0.0053492754754343955,0.006840537628189639,0.00894324658100301,0.008952160157711471,0.009006870282672394
semeion,7.847375403318313E-4,7.445480830598233E-4,1.3923358140246382E-4,3.0505533548772797E-4,0.0010868502454648111,0.0013147590219967586,5.386992709226209E-4,0.0033337034418374654,0.0033341577026521716,0.003320615569980389
soybean,0.0015439939496791376,0.0015706841581767273,7.859179099981211E-4,0.0010302184901815501,0.0015354651624618315,0.002958483692986644,0.0013549782911024548,0.00663793360262251,0.006579708572712889,0.006591662312440813
spambase,0.001469414414139106,0.0013337581196636054,0.007644012886106988,0.0069130628758333965,0.004612283171318787,0.0017197099988690357,0.006532525866918123,0.004613621729875586,0.004610156488699884,0.004601693243712413
spect,0.04173253246311719,0.04336232998774679,0.07527460974511176,0.05367883128231836,0.04258898923132016,0.05391822521825255,0.0635647728490969,0.04391064022376293,0.04407631880723064,0.04572613443415871
spectf,0.033666883023402816,0.035884276223228644,0.09541516577663484,0.08634691377464344,0.05838969452790395,0.04280136164997277,0.08693487234891006,0.05843754835662142,0.059338743938083666,0.06024075581864461
statlog-australian-credit,0.03021345768910885,0.03197203558689017,0.0896681760218061,0.07217100017561363,0.04469283786140512,0.03764151438468814,0.062265115639905805,0.0522989483464195,0.05088571139696891,0.048542718657419354
statlog-german-credit,0.021410099829216326,0.020736659141373525,0.05593236283394053,0.052195778782879815,0.028704403828966458,0.028272989207585548,0.042936822039973836,0.02869001539282985,0.029678679521511705,0.028934673696699647
statlog-heart,0.02664205015355,0.024787130055247627,0.06246289933315191,0.04862995460357016,0.03745121342836563,0.02719636637972,0.056180780187159475,0.037396231908035135,0.03736117370987089,0.037399272790016744
statlog-image,3.066940456035596E-4,3.226582484301887E-4,2.373657975714605E-4,1.5519783870984524E-4,5.227044483394242E-4,2.8865755641215566E-4,3.367215045207658E-4,0.0014283881597461586,0.0014265714428922298,0.0014313067954277118
statlog-landsat,4.7760986537277744E-4,5.010219156169582E-4,0.0011498552467930194,6.112486941157526E-4,0.0013063105641583194,5.775536410966758E-4,5.686503196153111E-4,0.0025794134533821253,0.002569953201789521,0.0025651575846071233
statlog-shuttle,1.4345678211605086E-6,2.5517877900938045E-6,1.1240329064972764E-7,1.0163191285428649E-7,3.072353081430893E-5,3.9409586869320706E-7,1.0540722097165397E-7,3.6034779155529064E-5,3.5342669003627224E-5,3.59978878667658E-5
statlog-vehicle,0.004816662485364738,0.004920855793733557,0.01209031503957255,0.004912952989081032,0.003929829563317926,0.00831137341701613,0.005050768023470084,0.006703540692411723,0.006647729404182702,0.006772756118475768
steel-plates,0.004178272788257268,0.0041080234906965135,0.011609726951367106,0.00353793997189653,0.00551716450396581,0.0048256577614828175,0.003728243382588197,0.006820338640053252,0.006863254679682254,0.006821126942362709
synthetic-control,1.83751734338181E-4,2.1477910479598007E-4,5.526945488854038E-5,1.2710430547380926E-4,4.4839888281510945E-4,7.339753372271631E-4,1.3211783122735887E-4,0.0014369483771414719,0.0014362018876428481,0.001439995742862999
teaching,0.04833976888999654,0.05127650208751919,0.04146850637052284,0.03813647680525946,0.03865825680799038,0.060210666800682676,0.036434870910280776,0.05002100081442547,0.05019526268978404,0.05151748192112735
thyroid,1.789888026894368E-4,2.019288088088221E-4,1.639392883218396E-4,2.537228725390098E-4,0.0039690452664307785,5.82466447459424E-4,2.3159617508036344E-4,0.003915962133951787,0.0039048571511170996,0.003927482933839391
tic-tac-toe,8.672941214453022E-4,7.33925404323635E-4,0.006868655499462907,0.006030682762295984,0.0056380470400436145,7.922238007758455E-4,0.008363585260402082,0.005634959684099336,0.005632681881329909,0.005551530375902081
titanic,0.012013223114736918,0.011906557895759689,0.035409661864849715,0.033139329013146715,0.01572285130277643,0.012274061127561764,0.03349605333766253,0.015730431994239843,0.01567356309552008,0.0157009220594155
trains,0.36983997782203354,0.2043000385392192,0.0,0.0,0.0,0.0,0.0,0.17287295182088022,0.17287295182088022,0.0
twonorm,9.081433057889412E-4,3.298342738297733E-4,0.004321188426513326,0.003366726726630691,0.0031436471339032386,4.22384614105222E-4,0.003805809255771014,0.003143356973312466,0.003144775754353642,0.0031348392457965905
vertebral-column-2clases,0.020781312893303205,0.023163378226401535,0.07214625071275092,0.07108198666624525,0.049781519692247804,0.032414571555644145,0.05737411660663906,0.04977383896930633,0.04956605330635099,0.05071823451609841
vertebral-column-3clases,0.010438491031081075,0.010353537545558573,0.009369791359718226,0.009579072786301171,0.012263512534242035,0.014125070887447725,0.011193284364741514,0.012251836246912881,0.01223004521945964,0.01238725210213182
wall-following,1.4752347447057596E-4,1.631272847771258E-4,1.8327947073160793E-5,1.837094096680246E-4,5.059630344516601E-4,7.349948236929263E-5,1.6070231501333606E-4,5.980314420605437E-4,5.98201898814015E-4,5.973704102159736E-4
waveform,0.001615078457997849,0.0013956625780236719,0.0014167075444493787,0.001282055296300544,0.0028997471586882455,0.001958646301150226,0.0011830935895099674,0.002637264255408379,0.002643487833571374,0.0026481003776742187
waveform-noise,0.001955708236009353,0.001701637796320068,0.0017497444245744664,0.001510838681556407,0.0032913445882867365,0.0018825892064497645,0.001596400305764885,0.0028267840246163876,0.0028357194851510066,0.002863669437467352
wine,0.0017600862001663816,0.0013942472070724,4.121624099617638E-4,4.641671233862473E-4,0.003311581887993934,0.0026142810263646774,8.308812021941818E-4,0.003887338960356568,0.003900048463491796,0.0038505113667514743
wine-quality-red,0.011581416989293467,0.011029487132416032,0.04313060734710471,0.009881068178193626,0.017265376875367274,0.013418350094767195,0.011042919207980291,0.012325990495504615,0.012156543736436182,0.012059665071257431
wine-quality-white,0.006257623597506858,0.005708279689604864,0.024157421822261615,0.004229891533972158,0.0095521636396974,0.007259471749778747,0.005406426586478417,0.00751740507469851,0.007498478556239435,0.007360629776285793
yeast,0.00852148815273064,0.008949797953387014,0.02085533531879252,0.008167921508201463,0.009562645001313867,0.011765349263424936,0.008756622360499223,0.01226414301176365,0.01247099756147162,0.012201456356059985
zoo,0.004352381004328524,0.004523570082275762,0.004619248646519338,0.0,0.0022054689566448184,0.0034449659418085018,0.0,0.01995893329962336,0.019905025999719387,0.019973237957327902
